"","V1","rich"
"1404",8163,12
"1405",8410,12
"1406",8584,12
"1407",8946,12
"1408",9034,12
"1409",9136,12
"1410",9290,12
"1411",9330,12
"1412",9429,12
"1413",9535,12
"1414",9948,12
"1415",10148,12
"1416",11173,12
"1417",11643,12
"1418",11644,12
"1419",11702,12
"1420",11740,12
"1421",11822,12
"1422",11886,12
"1423",11888,12
"1424",11952,12
"1425",11984,12
"1426",12087,12
"1427",12200,12
"1428",12217,12
"1429",222,13
"1430",229,13
"1431",231,13
"1432",232,13
"1433",233,13
"1434",235,13
"1435",254,13
"1436",287,13
"1437",288,13
"1438",290,13
"1439",291,13
"1440",308,13
"1441",337,13
"1442",338,13
"1443",339,13
"1444",340,13
"1445",362,13
"1446",363,13
"1447",365,13
"1448",371,13
"1449",379,13
"1450",460,13
"1451",566,13
"1452",609,13
"1453",610,13
"1454",651,13
"1455",652,13
"1456",653,13
"1457",654,13
"1458",732,13
"1459",733,13
"1460",778,13
"1461",906,13
"1462",981,13
"1463",1424,13
"1464",1474,13
"1465",1635,13
"1466",1794,13
"1467",1946,13
"1468",1956,13
"1469",3187,13
"1470",3441,13
"1471",3442,13
"1472",4176,13
"1473",4177,13
"1474",4303,13
"1475",4304,13
"1476",4460,13
"1477",4605,13
"1478",4606,13
"1479",4887,13
"1480",5016,13
"1481",5081,13
"1482",5082,13
"1483",5157,13
"1484",5224,13
"1485",5225,13
"1486",5305,13
"1487",5348,13
"1488",5349,13
"1489",5350,13
"1490",5373,13
"1491",5376,13
"1492",5434,13
"1493",5456,13
"1494",5459,13
"1495",5496,13
"1496",5498,13
"1497",5499,13
"1498",5587,13
"1499",5609,13
"1500",5651,13
"1501",5652,13
"1502",5653,13
"1503",5660,13
"1504",5683,13
"1505",5711,13
"1506",5768,13
"1507",5793,13
"1508",5810,13
"1509",5871,13
"1510",5874,13
"1511",5893,13
"1512",5894,13
"1513",5902,13
"1514",5913,13
"1515",6019,13
"1516",6020,13
"1517",6040,13
"1518",6067,13
"1519",6068,13
"1520",6095,13
"1521",6125,13
"1522",6176,13
"1523",6179,13
"1524",6183,13
"1525",6184,13
"1526",6186,13
"1527",6200,13
"1528",6220,13
"1529",6232,13
"1530",6242,13
"1531",6308,13
"1532",6322,13
"1533",6330,13
"1534",6360,13
"1535",6366,13
"1536",6375,13
"1537",6386,13
"1538",6390,13
"1539",6391,13
"1540",6392,13
"1541",6398,13
"1542",6445,13
"1543",6463,13
"1544",6490,13
"1545",6509,13
"1546",6583,13
"1547",6633,13
"1548",6722,13
"1549",6765,13
"1550",6783,13
"1551",6838,13
"1552",6866,13
"1553",6910,13
"1554",6911,13
"1555",6999,13
"1556",7142,13
"1557",7150,13
"1558",7169,13
"1559",7318,13
"1560",7433,13
"1561",7512,13
"1562",7513,13
"1563",7523,13
"1564",7524,13
"1565",7542,13
"1566",7554,13
"1567",7555,13
"1568",7559,13
"1569",7590,13
"1570",7654,13
"1571",7655,13
"1572",7853,13
"1573",7900,13
"1574",8001,13
"1575",9446,13
"1576",10043,13
"1577",10455,13
"1578",10540,13
"1579",10563,13
"1580",10744,13
"1581",10745,13
"1582",11027,13
"1583",11429,13
"1584",11476,13
"1585",11537,13
"1586",11887,13
"1587",11950,13
"1588",12239,13
"1589",12249,13
"1590",12293,13
"1591",230,14
"1592",292,14
"1593",378,14
"1594",451,14
