"IUCN.binomial" "AllGeogRange" "Body.mass.g" "LitSz" "AdultHeadBodyLen.mm" "GestLen.d" "LitPerYear" "SocGrpSz" "WeanAge.d" "SMA.d" "NeonateBodyMass.g" "MaxLifepsan.m" "PopDen.n.km2" "brain.mass.g" "IBI.d"
"Aethomys_bocagei" 850905.000000001 59.8876741324558 3.21560146445881 111.561649719565 30.8175863216855 1.96678446890624 1.02101212570719 33.0922483469643 166.906522331008 3.43008026504946 50.5915918706029 423.452429634764 1.17798077488874 119.204682909908
"Aethomys_chrysophilus" 4748697 80.85 3.09 141.52 26.17 3.77182561589015 1.16934331008553 24.88 96.05 4.43 48.5177849356961 66.18 1.25 29
"Aethomys_granti" 212362 40 3.28716378274692 112.88808725359 28.8152133360851 1.77170667795049 1 63.618410962538 257.56037852719 1.13632434014173 48.8221094449902 98.7661471269573 0.830953648431766 162.555646797452
"Aethomys_hindei" 2299957 140.65 2.05 154.801950311109 24.66 4.29523687114206 1.38748041380872 19.4806099190661 59.11 5.71991089531341 52.8358408836209 2191.47 1.42 44.760242641639
"Aethomys_ineptus" 4748697 133.16 2.91201337473671 142 32.5554760229677 1.82862418873556 1.08405545655005 56.3121017121582 313.379597222265 5.97668963609012 66.7818818697117 130.211404535747 2.02408391182277 180.083310086035
"Aethomys_kaiseri" 2276073 89.99 3 144.584218493659 27 3.74145920088855 1.05633607683817 26 84.1140681231248 6.09 54.3196312673308 312.889908044498 1.3402238287537 55.8744607264873
"Aethomys_namaquensis" 2790747 57.1 3.49 109.566371189167 21.99 2 1 27.5 70.4584681686417 2.5 56.4 1378.9 0.611 41.2365587282516
"Aethomys_nyikae" 674964 77.01 3.56 119.889415531915 25.4081079404521 2.39460071881358 1.01395947979003 24.7657813345188 108.638829370821 3.9965745878125 40.1840845681382 625.701487046224 1.11267888475335 51.8739287735517
"Aethomys_silindensis" 23507 87.8804367097413 2.03976168358616 145.630940322148 46.4837685307656 1.03163850315024 2.59771382065824 36.0138512432051 235.497423909992 6.09368713828524 80.37441933576 1384.33907731274 1.20459773611979 260.354981997853
"Aethomys_stannarius" 122377 77.6522866442288 3.12435082608249 142.184716453306 33.8353182072667 1.01104669193785 1.16065146927911 57.0982704167368 346.065000331959 4.37100394774225 63.3614337089304 182.942817741703 1.61364381505206 333.979327393901
"Aethomys_thomasi" 331721 60.3014396982159 3.96840197320019 128.971353347464 31.7206840227913 1.01395947979003 1.01395947979003 67.2506666182848 354.854059265996 2.03096805363222 61.3153742991774 81.5411183175347 1.44431410622765 346.634112698907
"Ailuropoda_melanoleuca" 8466.00000000001 117999.99 1.62 1345.98 134.99 0.7 1 178.98 2413.02 104.39 360 0.18 221.1840725 638.75
"Ailurops_ursinus" 169512 10000 1.14891426794851 615.14304387856 123.60174466578 1.03067880377864 1.24357730862911 92.8921273727724 478.669153798113 252.140871870146 122.049410829122 12.3470578469676 35.3041349903382 345.780973897198
"Ailurus_fulgens" 820038 5170.08 1.7 582.32 131.5 1 2 136.87 604.05 104.04 168 17.3323188095986 43.19172861 365
"Akodon_aerosus" 270292 59.99 3.74248927238149 130.726328259251 31.2364526584107 1 1.02101212570719 66.1751527593201 350.711692201992 2.2356226678056 60.5619354711777 87.6222203794058 1.47400450932366 350.897937302088
"Akodon_affinis" 104318 24.89 2.30614120949479 96.9505351521962 31.6054329032933 1.75736182321338 1.00695555005672 64.9664360113643 294.440561932997 0.598245238515457 43.0635220920365 139.648381718933 0.674657807782313 166.401134923271
"Akodon_albiventer" 558723 25.95 2.6597942255817 100.248054141272 27.2560890916493 1.88585123940121 1 64.8956525505106 256.244027171719 0.741896474402963 46.145502295451 104.719126981969 0.685989688798968 161.473866092235
"Akodon_azarae" 1712887 25.27 4.59 98.9813615468254 23 1.25 1.39640316412086 14.44 61.87 2.2 12 7679.65 0.642 135
"Akodon_bogotensis" 125149 12.99 1.00754227915686 59.4412637467742 113.193777803229 1 578.455612691009 56.6608844656304 464.212917397202 2.80524333406994 191.714564650531 231.179084336436 0.40892955030123 320.683853581642
